word,anchor,oliacat
http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_103644_103651,кандилу,http://purl.org/olia/olia.owl#CommonNoun
http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_103654_103656,Та,http://purl.org/olia/olia.owl#Determiner
http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_103657_103659,је,http://purl.org/olia/olia.owl#AuxiliaryVerb
http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_103795_103796,.,http://purl.org/olia/olia.owl#Punctuation
http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_103791_103795,моли,http://purl.org/olia/olia.owl#Verb
http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_103798_103801,Она,http://purl.org/olia/olia.owl#Pronoun
http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_103802_103804,се,http://purl.org/olia/olia.owl#Particle
http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_103901_103902,:,http://purl.org/olia/olia.owl#Punctuation
http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_103890_103901,проговорила,http://purl.org/olia/olia.owl#Verb
http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_103904_103905,„,http://purl.org/olia/olia.owl#Punctuation
http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_103905_103907,Ах,http://purl.org/olia/olia.owl#Interjection
http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_104004_104005,“,http://purl.org/olia/olia.owl#Punctuation
http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_104003_104004,.,http://purl.org/olia/olia.owl#Punctuation
http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_104007_104008,И,http://purl.org/olia/olia.owl#CoordinatingConjunction
http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_104009_104014,после,http://purl.org/olia/olia.owl#Adposition
http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_104101_104102,.,http://purl.org/olia/olia.owl#Punctuation
http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_104093_104101,прислони,http://purl.org/olia/olia.owl#Verb
http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_104104_104108,Тиха,http://purl.org/olia/olia.owl#Adjective
http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_104109_104111,је,http://purl.org/olia/olia.owl#AuxiliaryVerb
http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_104207_104208,.,http://purl.org/olia/olia.owl#Punctuation
http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_104203_104207,умро,http://purl.org/olia/olia.owl#Verb
http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_104210_104211,А,http://purl.org/olia/olia.owl#Residual
http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_104212_104216,Ружа,http://purl.org/olia/olia.owl#ProperNoun
http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_104467_104468,.,http://purl.org/olia/olia.owl#Punctuation
http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_104463_104467,свет,http://purl.org/olia/olia.owl#CommonNoun
http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_104470_104472,То,http://purl.org/olia/olia.owl#Determiner
http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_104473_104475,је,http://purl.org/olia/olia.owl#AuxiliaryVerb
http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_104541_104542,.,http://purl.org/olia/olia.owl#Punctuation
http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_104539_104541,чу,http://purl.org/olia/olia.owl#Verb
http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_104617_104618,.,http://purl.org/olia/olia.owl#Punctuation
http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_104611_104617,долази,http://purl.org/olia/olia.owl#Verb
http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_104620_104623,Сат,http://purl.org/olia/olia.owl#CommonNoun
http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_104624_104625,у,http://purl.org/olia/olia.owl#Adposition
http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_104659_104660,.,http://purl.org/olia/olia.owl#Punctuation
http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_104651_104659,дванаест,http://purl.org/olia/olia.owl#Numeral
http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_10465_10466,“,http://purl.org/olia/olia.owl#Punctuation
http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_10464_10465,.,http://purl.org/olia/olia.owl#Punctuation
http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_104662_104663,У,http://purl.org/olia/olia.owl#Adposition
http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_104664_104667,тај,http://purl.org/olia/olia.owl#Determiner
http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_10468_10471,Кад,http://purl.org/olia/olia.owl#SubordinatingConjunction
http://llod.jerteh.rs/ELTEC/srp/NIF2/SRP18520.txt#offset_10472_10474,је,http://purl.org/olia/olia.owl#AuxiliaryVerb
